title_id,title_native,title_romaji,start_year,chapters,volume,publishing_status,country,adult,genres,average_score,mean_score,popularity,favorites,score_10,score_20,score_30,score_40,score_50,score_60,score_70,score_80,score_90,score_100,count_CURRENT,count_PLANNING,count_COMPLETED,count_DROPPED,count_PAUSED,ranking_RATED,ranking_POPULAR,synopsis,cover_image_url
30658,無限の住人,Mugen no Juunin,1993.0,206.0,30.0,FINISHED,JP,False,"['Action', 'Adventure', 'Supernatural']",82,83,12546,544,9.0,3.0,5.0,18.0,37.0,93.0,234,484,658,439,1466,8200,2048,225,607,1.0,1.0,"Hiroaki Samura's Blade of the Immortal will keep you on edge! Manji, a ronin warrior of feudal Japan, has been cursed with immortality. To rid himself of this curse and end his life of misery, he must slay one thousand evil men! His quest begins when a young girl seeks his help in taking revenge on her parents' killers . . . and his quest won't end until the blood of a thousand has spilled!<br>
<br>
(Source: Dark Horse)<br>
<br>
<b>Note:</b> <i>Mugen no Juunin</i> was first published with 219 chapters in the magazine, which were then recollected into 206 chapters in the tankoubon.",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx30658-o3Y534AsfDfK.jpg'}
106130,ブルーロック,Blue Lock,2018.0,,,RELEASING,JP,False,"['Action', 'Drama', 'Sports']",82,82,30810,2643,48.0,23.0,49.0,71.0,130.0,247.0,750,1610,2295,1416,15052,12785,495,837,1641,7.0,5.0,"After a disastrous defeat at the 2018 World Cup, Japan's team struggles to regroup. But what's missing? An absolute Ace Striker, who can guide them to the win. The Japan Football Union is hell-bent on creating a striker who hungers for goals and thirsts for victory, and who can be the decisive instrument in turning around a losing match...and to do so, they've gathered 300 of Japan's best and brightest youth players. Who will emerge to lead the team...and will they be able to out-muscle and out-ego everyone who stands in their way?
<br><br>
(Source: Kodansha USA)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx106130-AZn3dTaSXM4z.jpg'}
98370,佐々木と宮野,Sasaki to Miyano,2016.0,,,RELEASING,JP,False,"['Comedy', 'Romance', 'Slice of Life']",82,84,4539,327,3.0,1.0,3.0,3.0,20.0,29.0,111,234,284,253,1954,1960,261,80,284,6.0,47.0,"Miyano spends his days peacefully reading Boys' Love comics and worrying about how girly his face is-until a chance encounter leads to a scuffle with his senior Sasaki. Intrigued by his feisty junior Miyano, delinquent Sasaki uses every opportunity he can to get closer...<br><br>(Source: Yen Press)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx98370-kbWNfSGsNYzH.jpg'}
33649,フェイト／ゼロ,Fate/Zero,2006.0,18.0,4.0,FINISHED,JP,False,"['Action', 'Drama', 'Fantasy', 'Romance']",82,84,4076,185,5.0,5.0,6.0,9.0,17.0,50.0,102,228,324,285,327,2097,1439,63,150,3.0,5.0,"War of the Holy Grail - Pursuing the power of the ""Holy Grail"" which grants a miracle, this is a contest in which seven magi summon seven Heroic Spirits to compete for it. In that battle whose conclusion was postponed three times, now, the fourth war commenced again. Entrusting their dearest wish of victory, the magi joined the battleground called ""Fuyuki"", but amongst them, there was a man who was always alone, and could not find out the meaning behind his fights. His name was Kotomine Kirei. Not comprehending the guidance of fate, Kirei was lost, and had kept questioning. Why someone like his was given the Command Seals. However, the fate of his fights crossed Kirei's path with a nemesis by chance. That person is - Emiya Kiritsugu. A man who was sterner than anyone else, more merciless than anyone else, and who sought the miracle of the Holy Grail.<br><br>

Merely recited in fragments in Fate/Stay Night, this is the Fourth War of the Holy Grail 10 years ago. The truth which unfolded behind the battle between Shir&#333;'s foster father, Rin's father, and the younger Kotomine Kirei, is finally revealed...... <br><br>

(Source: Baka-Tsuki)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/33649-rA0ZBSbWhPkH.png'}
30043,アイシールド21,Eyeshield 21,2002.0,333.0,37.0,FINISHED,JP,False,"['Comedy', 'Sports']",82,83,10359,654,21.0,3.0,11.0,15.0,55.0,138.0,437,886,1047,651,968,4509,4128,222,532,3.0,2.0,"Wimpy Sena Kobayakawa has been running away from bullies all his life. But when the football gear comes on, things change&mdash;Sena's speed and uncanny ability to elude big bullies just might give him what it takes to become a great high school football hero! Enjoy all the bone-crushing action and slapstick comedy that this heartwarming coming-of-age story has to offer.
<br><br>
(Source: Viz Media)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30043-b2SqUjwSzfIH.png'}
30042,ドラゴンボール,Dragon Ball,1984.0,520.0,42.0,FINISHED,JP,False,"['Action', 'Adventure', 'Comedy', 'Sci-Fi']",82,82,20038,1964,29.0,15.0,36.0,60.0,232.0,461.0,1446,2604,2709,2080,2608,3799,11805,600,1226,134.0,104.0,"Dragon Ball follows the adventures of Son Goku from his childhood through adulthood as he trains in martial arts and explores the world in search of the seven mystical orbs known as the Dragon Balls, which can summon a wish-granting dragon when gathered. Along his journey, Goku makes several friends and battles a wide variety of villains, many of whom also seek the Dragon Balls for their own desires. Along the way becoming the strongest warrior in the universe.<br><br>
Part II of Dragon Ball is also known as ""Dragon Ball Z"" in North America.<br><br>
<i>Note: Chapter count includes 519 regular chapters and 1 extra. (Volume 33's ""Trunks: The Story"").</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx30042-4SetGiEbGc9x.jpg'}
114998,文豪ストレイドッグスBEAST,Bungou Stray Dogs BEAST,2019.0,,,RELEASING,JP,False,"['Action', 'Drama', 'Mystery', 'Supernatural']",82,87,2303,118,1.0,,1.0,,9.0,4.0,36,88,144,138,951,1063,110,22,157,7.0,,"In a parallel universe of Bungo Stray Dogs, Ryuunosuke Akutagawa’s desperate mission to save his younger sister leads to him being recruited by the armed detective agency! 
<br><br>
(Source: Yen Press)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx114998-JTCzDczl8eBD.jpg'}
100473,겨울 지나 벚꽃,Gyeoul Jina Beojkkoch,2017.0,,,RELEASING,KR,True,"['Drama', 'Romance', 'Slice of Life']",82,83,4757,339,7.0,3.0,10.0,17.0,44.0,78.0,183,323,410,466,1935,991,1056,230,545,,,"Once young friends, Hae-Bom and Tae-Seong have grown distant after tragedy brought them under one roof as family almost 10 years ago. Things get more complicated in their last year of high school as now they're... classmates too?! <br>
<br>
(Source: Tappytoon, edited)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/100473-WRN9M5fZIniX.png'}
98587,BEASTARS,BEASTARS,2016.0,196.0,22.0,FINISHED,JP,False,"['Drama', 'Psychological', 'Romance', 'Slice of Life', 'Supernatural']",82,82,25062,2297,35.0,18.0,34.0,66.0,160.0,342.0,1008,2017,2554,1561,7023,8545,7098,668,1728,7.0,6.0,"One night at Cherryton Academy, an herbivore student is brutally murdered. Among the members of the Drama Club, the herbivores’ suspicions naturally turn to their carnivore classmates… The prime suspect? Gray wolf Legoshi. But he wouldn’t hurt a fly. Or would he? Will dwarf rabbit Haru bring out the beast in him? Or are his feelings for her…something else?
<br><br>
(Source: Viz Media)<br><br>
<i>Notes: Winner of the New Creator Prize of the 22nd Annual Tezuka Osamu Cultural Prize.</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx98587-useiMvZ0nfya.png'}
97701,町田くんの世界,Machida-kun no Sekai,2015.0,28.0,7.0,FINISHED,JP,False,"['Comedy', 'Drama', 'Psychological', 'Romance', 'Slice of Life']",82,83,6737,361,3.0,2.0,1.0,10.0,41.0,78.0,311,662,769,414,645,2941,2985,61,105,8.0,24.0,"Machida-kun seems like the perfect brother, son, and student because he loves people. Helpful when he needs to be, but puts himself down when he feels like a total failure. However, the people that surround his daily life are there as a reminder as why Machida-kun needs no improvements because the people love Machida.<br><br>
<i>Notes: Winner of the New Creator Prize of the 20th Annual Tezuka Osamu Cultural Prize.</i>
",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/nx97701-riOfVFOVLKCk.png'}
85486,僕のヒーローアカデミア,Boku no Hero Academia,2014.0,,,RELEASING,JP,False,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",82,82,97490,8697,161.0,69.0,136.0,288.0,721.0,1165.0,3606,7466,9024,5808,63929,16939,4360,4218,8044,11.0,1.0,"Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn’t got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all, gives him a chance to change his destiny…<br><br>(Source: Viz Media)",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx85486-INqnYx8gL3eX.jpg'}
76282,痴漢男,Chikan Otoko,2004.0,23.0,,FINISHED,JP,False,"['Comedy', 'Drama', 'Romance']",82,82,8422,471,21.0,5.0,19.0,39.0,94.0,151.0,520,955,1245,785,506,2776,4696,202,242,2.0,5.0,"Based off a real story which was posted on 2ch, Molester Man is the story of how Molester Man is mistaken for a stalker by Miss Understanding, and how they overcome their personal challenges while slowly growing closer to each other.<br>
<br>
<i>Notes: Includes chapters 14.5 and 21.5</i>",{'large': 'https://s4.anilist.co/file/anilistcdn/media/manga/cover/medium/bx76282-u4vFI3SwcaD1.jpg'}
